연도,월,도시가스 사용량(세제곱미터)
2013,01,31391
2013,02,31200
2013,03,23864
2013,04,17508
2013,05,10151
2013,06,3442
2013,07,2878
2013,08,6446
2013,09,6123
2013,10,1963
2013,11,3753
2013,12,14229
2014,01,26622
2014,02,26973
2014,03,21304
2014,04,14396
2014,05,3496
2014,06,5126
2014,07,15543
2014,08,15242
2014,09,2164
2014,10,5835
2014,11,12098
2014,12,24206
2015,01,18872
2015,02,13629
2015,03,13239
2015,04,8390
2015,05,2749
2015,06,1508
2015,07,1373
2015,08,1327
2015,09,1432
2015,10,1861
2015,11,4844
2015,12,12039
2016,01,18209
2016,02,13490
2016,03,10074
2016,04,4770
2016,05,2412
2016,06,2023
2016,07,1690
2016,08,1684
2016,09,1712
2016,10,2093
2016,11,8612
2016,12,470839
2017,01,14467
2017,02,14144
2017,03,9829
2017,04,5555
2017,05,2394
2017,06,2601
2017,07,2116
2017,08,2099
2017,09,2186
2017,10,2162
2017,11,8373
2017,12,12416.7531
2018,01,17119.224
2018,02,12413
2018,03,8791
2018,04,3027.5142
2018,05,2443.5856
2018,06,1959.572
2018,07,2023.4224
2018,08,1849.3204
2018,09,1537.8542
2018,10,3176.742
2018,11,7654.5958
2018,12,12226.725
2019,01,15078.3238
2019,02,11017.8168
2019,03,8701.3116
2019,04,6367.1352
2019,05,2355.2822
2019,06,1884.5216
2019,07,2073.1772
2019,08,1972.2234
2019,09,1812.3536
2019,10,2356.4166
2019,11,7728.8874
2019,12,12210.1058
2020,01,13071.1604
2020,02,11311.2066
2020,03,10281.0244
2020,04,7102.3852
2020,05,2180.5524
2020,06,2124.5084
2020,07,1883.328
2020,08,1473.5832
2020,09,1812.7692
2020,10,2658.13
2020,11,6380.9848
2020,12,13124
2021,01,14782
2021,02,10494
2021,03,8199
2021,04,3702
2021,05,2102
2021,06,2022
2021,07,1766
2021,08,1585
2021,09,1448
2021,10,1715
2021,11,5896
2021,12,11547
2022,01,13349
2022,02,12435
2022,03,7280
2022,04,3295
2022,05,1907
2022,06,1691
2022,07,1396
2022,08,1419
2022,09,1473
2022,10,2462
2022,11,3458
2022,12,12106
2023,01,10862
2023,02,7073
2023,03,3816
2023,04,2111
2023,05,1915
2023,06,1727
2023,07,1216
2023,08,1091
2023,09,1165
2023,10,2275
2023,11,4340
2023,12,8465
2024,01,10992
2024,02,7021
2024,03,6069
2024,04,2493
2024,05,1913
2024,06,1750
2024,07,1726
2024,08,1462
2024,09,1315
2024,10,1745
2024,11,3064
2024,12,7109
2025,01,8182
2025,02,9551
